record - dc:cdmid,image_url,record - dc:title,record - dc:cdmfile,record - dc:cdmpath,record - dc:viewerURL,record - dc:cdmcreated,record - dc:cdmmodified,record - dc:format,record - dc:subject,record - dc:publisher,record - dc:type,record - dc:creator,record - width,record - height,record - dc:source,record - dc:language,record - dc:identifier,record - dc:date,record - dc:description,record - dc:coverage,record - dc:relation,related_to,record - illust_tech,record - dc:contributor,record - tag,record - text,record - notes,record - dc:audience
76,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=76,Seeing New York (3),77.jpg,/p4129coll7/image/77.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/76,2004-02-03,2004-02-03,JPG,Milk; Infants; Mothers,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m003.jpg,[1911],"Text accompanied by inset photo of milk man delivering pail of milk; photograph of mothers, infants and male doctor [?] in education session at milk depot.",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,"MILK DEPOT <br>  MILK MAN <br>  Clean Hands, Clean Clothes, Clean Pail<br.<br>   One sure way of saving babies<br><br>  THE 'COPS' HELP TOO <br><br>  Commissioner Waldo has informed the police in the vicinity of the city's<br>   distributing milk stations about their purposes, and has bidden them aid in spreading <br>  the knowledge among mothers in congested districts. This is a proper police<br>  funtion. Its development will be watched and encouraged.- N Y. Times<br><br>[photograph]<br>  WHEN MOTHER GOES TO SCHOOL <br><br>  Clean milk and education go hand in hand. Mothers are encouraged to <br>  come to the depot before baby is sick, that he may be kept, not only alive, but<br>   well.<br><br>  Does Your City<br>  Enlighten Mothers?<br><br>  Chicago's weekly bulletin pub-<br>lished by the health deparment<br>   is a conspicuous example of a <br>  community which is getting ""under<br>   the load"" through the only<br>  agency which can reach 100%<br>  of Chicago's babies<br><br>  New York's health bulletins are given out from headquarters, 56th Street<br>  and Sixth Avenue<br><br>   Watch the newspapers for reports, interviews and warnings to mothers<br><br> [photograph]<br>  APPLIED HYGIENE <br>  Milk depot nurses go straight into the homes to make sure milk depot<br>   precepts of cleanliness, care and watchfulness are carried out <br>",,
77,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=77,Seeing New York (1),78.jpg,/p4129coll7/image/78.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/77,2004-02-03,2004-02-03,JPG,Infants; Health & welfare; Summer;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,11,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m001.jpg,[1911],"Photograph portrait in medallion of smiling infant with caption title: One of the ""Sights."" Saved by clean milk and mother made wise",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,"[To the 3500 students attending the summer schools at Columbia <br>  University and New York University, this bulletin is addressed, with   the belief that no subject is more worthy of thie interest and study   than New York's efforts to reduce preventable infant deaths.<br><br>""SEEING NEW YORK""<br><br>  Of course you've ""seen"" New <br>  York. You've explored the   shops, dipped into Chinatown,<br>  dined at ""Little Hungary,"" gone   through the new library, topped   the Singer tower, visited the <br>  Hall of Fame, Grant's tomb, Ellis Island, and ""millionaire's   row.<br><br>  But we venture to claim that no one of the ""sights""<br>  is more remarkable than the spectacle presented this summer,<br>  of public and private agencies banding together to prove   that babies need not die just because the weather is hot.<br><br>  You're naturally curious to see what sort of infant   citizen is being safely steered through the colicky stormy   stages of tenement babyhood up to the serene times when   he will come under your jurisdiction.<br>",,
78,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=78,Seeing New York (5),79.jpg,/p4129coll7/image/79.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/78,2004-02-03,2004-02-03,JPG,Children; Mothers; Hygiene; Girls;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m005.jpg,[1911],"Text describing ""Little Mothers Leagues"" accompanied by photograph of girls caring for infant.  Eldest girl offers reprimand: ""Throw away that loly pop!""  Text includes list of meetings places for weekly education sessions in Manhattan, The Bronx, Brooklyn, Queens and Richmond.",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,"THROW AWAY THAT LOLY POP!<br><br>  Are You Teaching 'Little Mothers'?<br>  Did you ever think that lessons in hygiene to little girls would save baby lives?<br>  New York City's health department has organized 239 little mother's leagues in 162<br>  schools where little girls from 12-14 take care of youonger sisters and brothers.<br>  Weekly meetings are held, with lectures by board of health doctors.<br>  If you have time step in<br>   PRESENT LIST OF MEETING PLACES:<br>  Manhattan:[...]<br>  The Bronx:[...]<br>  Brooklyn:[...]<br>  Queens:[...]<br>  Richmond:[...]<br><br>  IF A LITTLE MOTHER STOPS YOU <br>  LISTEN TO WHAT SHE SAYS:<br>  (Extracts from Little Mothers' Essays)<br><br>  What I Did for the Little Mother's League <br>  The lady who Lives in the same house as we do, has a baby boy, 9 months<br>   old. Night after night I hear him cry. One day I asked her why he crys so.<br>  She said she did not know. I asked what she feeds him and she said on <br>  groceries milk. I soon know why the baby crys so, it had stomach trouble. I<br>   asked why she doesn't keep the milk on ice and she says she cannot afford it. So <br>  I gave her the address to the milk depot. I told her to tell the person in charge <br>  that she cannot afford to buy ice and they will try to help her.<br>  The day after she went to store and the doctor told her the baby had <br>  stomach trouble. He gave the baby the right milk and a ticket for ice. Since that <br>  very day the baby drinks the milk, he sleeps during the night as if there were no <br>  baby. She thanked me very much and said I have saved a child from suffering <br>  pain and a mother from becoming ill, because when people do not sleep at night <br>  they usually become sick<br><br>   What I Have Done for the Mother's League <br>  One day as I was walking in the street I saw a baby in a carriage fast asleep <br>  with a nipple and an empty bottle in its mouth. So I saw the mother from the <br>  child and I told her nipples is a real death for a child. When the baby is having<br>   its sleep, the nipple should be in a glass of borax water ready for its meal. The <br>  mother from that child thanked me very much <br><br>  Another Testimony <br>  One day I walked in the street and I saw a woman giving a baby a loly-pop<br>   which had been sucked some time by her elder son. I went over and told her that<br>   loly-pops or any such food was the same as giving the child some poison. She <br>  asked me how I know and I told her I had learned it at the Little Mother's <br>  League. She took the subject under consideration and threw the loly-pop <br>  away.<br><br>  How I Helped the Mother's League<br>   My little sister does not feel well I said to mother: ""Mama, baby has diaria <br>  or loose bowels. Stop all milk, solid food, give her a dose of castor oil,<br>  and then take her to the doctor. My mother tried castor oil, by nothing helped.<br>  She went to the doctor, I went along to see what he would say, and what do you<br>   think he said, exactly what I did and added something new to it.<br><br>  How I Was a 'Little Mother' <br>  One day when I was on the pier with my little brother, a man who took care <br>  of a baby gave it a bottle of coffee. I saw the bottle was dirty and told him the<br>   baby would get sick. He said to me "" Mind your business."" I said I belong to <br>  the Little Mothers' League and know how to take care of babies. The next time <br>  I saw the baby sleeping with a loly-pop in his mouth, the flies were flying on it,<br>  but my little brother was covered with a veil and I fanned him. The next week I<br>   saw the baby and he looked sick. I told the father to go to the doctor. Now he <br>  took my advice and when he came back he said the baby had summer complaint,<br>  but in three weeks the baby was well again. I think the father will never again <br>  give the baby those things.<br><br>  The Care of a Baby for One Day <br>  It is half past six and my little brown eyed Dorothy has awaked, and the <br>  first thing I must do is to give her a nice cool bath, and my! how little Dorothy <br>  can kick, Now I will put on her soft clean clothes. My little Dorothy then must <br>  be fed on barley and milk. I will take her to the recreation pier, how the baby is <br>  enjoying it! She seems to be hungry, come we will go home, eat and come back <br>  again. When I got home I undressed baby and gave her another bath the I fed <br>  her again and she went asleep. When she awoke up I took her for a walk   through the park. It was getting toward evening and the sun was going down <br>  so I walked home with baby slowly <br><br>",,
79,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=79,Seeing New York (6),80.jpg,/p4129coll7/image/80.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/79,2004-02-03,2004-02-03,JPG,Milk; Infant mortality; Summer,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m006.jpg,[1911],"Summary of goals and list of accomplishments achieved over a year in campaign to reduce infant mortality due to summer diseases, itemized by wards in boroughs of Manhattan and Brooklyn.  Inset illustration of pot-bellied child holding object in upstretched hands.",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,"IS A BABY SAVING CAMPAIGN<BR> WORTH WHILE? <br><br> 1. From January 1st, and through July 29, this year, 888 fewer babies, under 1 year<br>died than for the same period in 1910<br><br> 2. During the hot spell, July 1-15,<br> the deaths from diarrhoeal diseases de-<br>creased from 576 in 1910 to 270 in 1911.<br> For the two weeks ending July 29, there <br> was a continued decrease of 322 deaths<br>from this cause from 1910<br><br>3. For three of the city's most congest-<br>ed districts, where milk depots were<br>located, the mortality for 1910 and 1911<br>is as follows:<br> 14th Ward...76[1910]...11[1911]<br>17th Ward...43[1910]...20[1911]<br>26th Ward...43[1910]...11[1911]<br><br> 4. In 5 wards in Manhattan and 9 <br>wards in Brooklyn, where there are no <br>stations, infant deaths were reduced only<br> 14% and 2% respectively during May and <br>June, compared with 1910. The wards<br> in both boroughs, which had milk stations<br> showed a reduction of 43% for the same<br> two months.<br><br> 5. Before the summer is over, the <br>life savers hope to cut last summer's loss <br> by 2000 babies- Commissioner Lederle's<br> estimate and goal",,
80,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=80,Seeing New York [Efficient Citizenship No. 460],81.cpd,/p4129coll7/image/81.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/80,2004-01-20,2004-01-20,JPG,Milk; Mothers; Infants,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,11,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007,[1911],Folded circular (single sheet) describing the educational outreach and well-baby services provided by milk stations in New York City. Includes testimonials and anecdotes from girls enrolled in the Little Mothers' League; also includes statistical record of reduced infant mortality.,,,,Halftone photomechanical prints,,new,,,
81,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=81,Should Midsummer Urgency Be Met By Midsummer Appeal? (front),82.jpg,/p4129coll7/image/82.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/81,2004-01-22,2004-01-22,JPG,Milk; Health; Infant mortality; Legislation; Fund raising;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e011m001.jpg,,"Dual print columns with divider down long axis; caption title, left column: ""Asks $10,000 To Aid Babies"", article from the New York Times dated July 28, 1911 re: city appropriations to increase service of milk depots in city; caption title, right column: ""Why Milk Stations Are Worth While"", article from NYPress dated July 23, 1911 re: infant mortality statistics comparing current year to previous year; caption bottom center.",New York. New York City.,front of mk1e011,mk1e011,Halftone photomechanical prints;,Jonathan Frater,,,,"Caregivers, health care personnel, parents, lawmakers"
82,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=82,Should Midsummer Urgency Be Met By Midsummer Appeal? (back),83.jpg,/p4129coll7/image/83.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/82,2004-01-22,2004-01-22,JPG,Infants; Health; Milk; Nutrition; Food;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e011m002.jpg,,"Post card; printed on yellow stock, cropped photo pf baby's head in upper left corner; uses a columnar format with three headers: ""Has a mother the right"", ""Has a man the right"", and ""Has a community the right"", each with subject sentences; contact information for New York Milk Committee at center bottom.",New York. New York City.,back of mk1e011,mk1e011,Halftone photomechanical prints;,Jonathan Frater,,,,"caregivers, parents, health care personnel"
83,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=83,Should Midsummer Urgency Be Met By Midsummer Appeal?,84.cpd,/p4129coll7/image/84.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/83,2004-01-22,2004-01-22,JPG,Infants; Summer; Milk;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e011,[1911],Postcard printed on two sides promoting 1911 fundraising campaign to support increased service from New York City milk stations.,,,,Halftone photomechanical prints,,,,,
84,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=84,The Baby And The Budget (front),85.jpg,/p4129coll7/image/85.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/84,2004-01-23,2004-01-23,JPG,Milk; Nutrition; Public affairs organizations; Public service organizations; Administrative agencies;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e012m001.jpg,[1911],"Single page of print; three separate excerpts from publications: ""The Baby and the Budget"" from New York Evening Post, July 24, 1977; ""Why More Doctors, Nurses, and Inspectors Are Needed"" from New York Tribune, July 25, 1911; ""The 'Cops' Spread the News"" from NY Times, July 23, 1911; contact information for the New York Milk Committee Bureau of Municipal Research, center bottom.",New York. New York City.,front of Mk1e012,Mk1e012,Halftone photomechanical prints;,Jonathan Frater,,,,"lawmakers, citizens, voters, parents"
85,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=85,The Baby And The Budget (back),86.jpg,/p4129coll7/image/86.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/85,2004-01-23,2004-01-23,JPG,Milk; Milk hygiene; Infants;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e012m002.jpg,[1911],"Post card; cropped photo of baby's head in upper left with Caption title ""Babies' Rights""; divider down long axis of page; three sections of text on left side of page with headers: ""Has a mother the right"", ""Has a man the right"", ""Has a community the right""; contact information for The New York Milk Committee at center, bottom.",New York. New York City.,back mk1e012,,Halftone photomechanical prints;,Jonathan Frater,,,,"caregivers, physicians, parents"
86,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=86,Dirt in Loose-Milk Shops (front),87.jpg,/p4129coll7/image/87.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/86,2004-01-23,2004-01-23,JPG,Milk; Food adulteration & inspection;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e013m001.jpg,[1911],"Caption title: ""Dirt in Loose-Milk Shops""; article printed in three column text from ""N.Y. Evening Post"", July 26th, 1911;small tear in upper right page corner; remains of postmark smudge in upper left over title.",New York. New York City.,front of mk1e013,mk1e013,Halftone photomechanical prints;,Jonathan Frater,,,1 of 2,"Citizens, caregivers, parents"
87,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=87,Dirt in Loose-Milk Shops (back),88.jpg,/p4129coll7/image/88.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/87,2004-01-23,2004-01-23,JPG,Infants; Milk,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e013m002.jpg,[1911],"Private Mailing Card; right portion blank with divide; Left side, caption title at top: ""Is It Worth The Difference?"", cropped photographs of babies below: ""Sickly Baby"" and ""Healthy baby"";postmark at upper right; cancelled stamp at upp right corner; small tear at upper left corner; contact information for New York Milk Committee at center, bottom.",New York. New York City.,back of mk1e013,mk1e013,Halftone photomechanical prints;,Jonathan Frater,,,2 of 2,"physicians, nurses, parents, caregivers"
88,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=88,The Baby and the Budget,89.cpd,/p4129coll7/image/89.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/88,2004-01-23,2004-01-23,JPG,Milk hygiene; Infants;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e012,[1911],Postcard printed on two sides advocating use of full budgetary allocation (by New York City Department of Health) for reducing infant mortality during the summer months; also promoting the work of milk stations in preventing infant deaths.,,,,Halftone photomechanical prints,,,,,
89,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=89,Dirt in Loose Milk Shops,90.cpd,/p4129coll7/image/90.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/89,2004-01-23,2004-01-23,JPG,Milk; Food adulteration & inspection; Infants,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e013,[1911],Post card printed on two sides with reprints of news article (1911) on New York City Department of Health's investigations of bacterial contamination of milk sold in bulk.,,,,Halftone photomechanical prints,,,,,
90,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=90,The House with the Blue Front (1),91.jpg,/p4129coll7/image/91.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/90,2004-01-27,2004-01-27,JPG,Milk; Infants; Children; Health & Welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m001.jpg,[1911],"Front of circular printed in blue ink.  Includes photograph of milk station located on Thompson Street, New York City.  NYAM Library stamp dated Sep[tember] 26, 1911.",New York. New York City.,front of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,"""THE HOUSE WITH THE BLUE FRONT""<br><br> BABIES' PURE MILK STATIONS <br><br> A HOUSE WITH A BLUE FRONT ON THOMPSON STREET <br><br> COMMITTEE FOR <br><br> REDUCTION OF INFANT MORTALITY <br><br> OF THE <br><br> NEW YORK MILK COMMITTEE <br><br> 105 EAST 22ND STREET <br><br> NEW YORK CITY",,
91,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=91,The House with the Blue Front (2),92.jpg,/p4129coll7/image/92.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/91,2004-02-06,2004-02-06,JPG,Milk; Infants; Children; Health & Welfare; Funeral rites & ceremonies,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m002.jpg,[1911],"Text reprinted from article published in the New York Times, Sunday, May 14, 1911.",New York. New York City.,inside face 1 of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,"""THE HOUSE WITH THE BLUE FRONT"" <br><br>  (From the New York Times, Sunday, May 14, 1911.<br><br><br>  ""Can you tell me the way to The House with the Blue Front?<br><br>  The man to whom she spoke answered at once that it was right around  the corner, And well he might, for blue is not a color habitually chosen  by New Yorkers for a house front. <br><br>  Some curious purpose had dictated the choice of a color so unusual as   that which jumped at one the moment the corner was turned. The blue   was the blue of an afternoon sky. Nobody could pass such a place without stopping to look. It gripped you by the arm and held you while you pon-dered its purpose. <br><br>  This is the way it is expected to work. Take a mother who has stren-  ously refused to rear her offspring along scientific lines. She gives it tea, coffee, strawberry shortcake and pickles. One day alarming symptoms   develop. The mother, whom we wish the reader to picture as hitherto  a monument of obstinacy, experiences and instant change of heart, seizes the baby, and rushes to the street. <br><br>  ""Tell me,"" she cries, ""the nearest way to the house with the blue front.""<br><br>  The chances are 100 to 1 that somebody can give her the information instantly, and she rushes where she knows help in the form of a trained nurse awaits her, and baby is saved, with what we may describe as the   cheers of the populace. <br><br>  This is not primarily the function of the milk station, but, then, on the  other hand selling milk is also only a part of the work of such a place. The blue front milk stations are meant, indeed, to furnish good, pure milk that can safely be drunk by the feeblest baby stomach, but it is the education of the mothers who come to the place. <br><br>  The battle for the lives of children in New York is about to be   fought more fiercely than ever. Already this city stands far ahead of   any other on the continent in the care it gives its little children, and this year the New York Milk Committee, of 105 East Twenty-second Street, has   undertaken to give a demonstration to the city of the reduction that is possi-  ble through maintaining a large number of stations where good milk and   better advice are always ready for anyone who comes to seek. <br><br>  It is submitted that it costs $50 to bury a baby. It has been demon-  strated that babies can be saved at a cost of $50 a year for each baby. The New York Milk Committee say - really it sounds very sensible: ""All   things considered, we might just as wll save babies as bury them,   seeing that it does not cost any more.""<br><br>  The odd thing is that it has taken us some time to get the point   of this. It does seem pretty clear when it is pointed out, but we   have been floundering after it for a long time.   <br><br>Even last Summer, when New York had the lowest death rate among   the large cities fo the country, over 1,000 babies were buried in two weeks.    The number of babies born during the year equaled the population of New   Haven, and one-eighth of them died in the course of the twelve months.   And yet other cities made a far worse showing than New York. <br><br>  The Department of Health did know how to save many of the babies.   It knew perfectly well, but that costs money, and the average taxpayer has   not yet grasped the fact that has come home to many individuals, that $50   for saving a baby is a better way to spend money than giving $50   for burying a baby. But this year as many of these deaths are   going to be prevented as possible, and the New York Milk Com-   mittee is to make what is intended to be a striking demonstration   of what can be obtained by a great big campaign against the deaths   that hide everywhere for the little mites. <br><br>  The experiment is being made in close co-operation with the   Board of Health.   The value of the milk stations, says an expert on the question,  lies about 25 per cent. in the milk and 75 per cent. in the advice   given. It used to be the custom to prepare the milk for babies   according to a set formula, such and such for children under three   months old, and such and such for children a year old, etc. this   worked well enough for the ""average"" child, but unfortunately the   majority of children are not ""average"" at all. The New York Milk   Committee is taking a new system altogether.",,
92,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=92,The House with the Blue Front (3),93.jpg,/p4129coll7/image/93.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/92,2004-03-04,2004-03-04,JPG,Milk; Education; Children; Mothers; Infants;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m003.jpg,[1911],Text with photograph of mother in tenement apartment receiving instruction on how to prepare milk for infant feeding.  Image shows three woman gathered around kitchen table; young girl holding two small infants in her arms; while woman prepares milk; another woman (in hat) looks on.,New York. New York City.,inside face 2 of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,"It is a very simple matter to teach a woman to prepare milk for her own chid. At every milk station there will be a nurse to do this. She will show any amount of patience that may be necessary in wrestling with idiosyn- crasies of each individual family, and not one mother will come away from the milk station without having an idea as clear as possible of the way in which the baby should be fed and cared for.<br> <br> Under the old system, when the milk was all prepared in little bottles, there were a dozen details that the mother neglected at home. The bottle was put down in a dirty place, the nipple was taken off, and cockroaches and similar lively insects would creep in. The mother did nothing about it,  because she had not been made to understand how important to health cleanliness was.  <br> <br>The Milk Committee makes her understand this, and sees that the good done at the station is not undone by ignorant careless-  ness. The nurses will work in the homes, too, so far as possible, by fol-lowing up special cases. <br><br> [illustration with title caption: INSTRUCTION IN THE HOME ] <br><br> There are doctors who will visit the station at stated times and who will  prescribe for every baby that comes. Not only do they prescribe the diet necessary for the child, but they are able to set the mother on the right  track if the child has some disease that requires special attention from a clinic. Not every baby, who comes to the station miserably undersized and puny, is suffering from malnutrition. When, however, it is malnutrition from which they suffer, it is singular to see the lines in their charts.  <br><br>Every baby that comes has a chart. Along the middle runs a line in- dicating the normal weight for a baby under a year. It goes in a long, slanting upward line. When the babies come in, little dots are put to register their relation to the line, and in practically every case these dots are a pitifully long way below the normal. A baby that should weigh fifteen pounds will weigh but eight or ten; then it gets its clutch upon the milk  bottle from the station, and presto! the line goes up so suddenly towards  the normal that it is almost perpendicular. <br><br> It is startling to see the instant improvement that follows the visits to the milk station. What ails the child usually is nothing in the world but starvation. It is useful thought to take home and ponder evenings when there is nothing else to do that hundreds of babies starve to death every year in New York City.",,
93,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=93,The House with the Blue Front (4),94.jpg,/p4129coll7/image/94.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/93,2004-01-28,2004-01-28,JPG,Milk depots;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m004.jpg,[1911],"Address list for Babies' Pure Milk Station (""Blue Front"" houses) accompanied by photograph of mother attending an instructional session.  An infant weighing station is visible in background.  Caption title: ""Consultation Class.""",New York. New York City.,back of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,"CONSULTATION CLASS<br><br> LOCATION OF THE TWENTY-SEVEN <br><br> BABIES' PURE MILK STATIONS <br><br> 47 Washington Street  326 East 11th Street  200 East 97th Street <br><br> 244 Mulberry Street  306 East 21st Street  248 East 105th Street <br><br> 35 Norfolk Street  316 East 56th Street  315 East 112th Street <br><br> 174 Eldridge Street  512 Second Street   3 East 115th Street  <br><br> 73 Cannon Street   873 Second Avenue  114 Thompson Street <br><br> 165 Ludlow Street  1705 Second Avenue  56 Le Roy Street <br><br> 339 East 4th Street  1391 Avenue A   307 Tenth Avenue <br><br> 325 East 5th Street   235 East 81st Street   438 West 48th Street <br><br> 722 East 9th Street   239 West 69th Street<br><br> 59th St. and 10th Ave. (Vanderbilt Clinic) <br><br> Godfrey R. Pisek, M. D., Chairman <br><br> Mrs. J. Borden Harriman, Vice -Chairman <br> Marshall L. Warrin, Treasurer <br><br> Paul E. Taylor, Director",,
94,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=94,The House with the Blue Front,95.cpd,/p4129coll7/image/95.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/94,2004-01-27,2004-01-27,JPG,Milk depots; Infants; Mothers; Education; Milk hygiene; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015,1911,"Circular (one sheet) printed on four sides justifying educational outreach campaign as essential component of infant mortality reduction program.  Maternal education programs were offered by the New York Milk Committee at ""consultation classes"" held at milk stations, as well as in the home (by visiting nurses).",,,,Halftone photomechanical prints,,,,,
